Date,Discipline,Sub-discipline,Gold Name,Gold Country,Silver Name,Silver Country,Bronze Name,Bronze Country,,Record
7/27/2024,Shooting,10m Air Rifle Mixed Team Bronze Medal Match,,,,,Kazakhstan,KAZ,,
7/27/2024,Shooting,10m Air Rifle Mixed Team Gold Medal Match,China,CHN,Korea,KOR,,,,
7/27/2024,Diving,Women's Synchronised 3m Springboard Final,China,CHN,United States,USA,Great Britain,GBR,,
7/27/2024,Cycling Road,Women's Individual Time Trial,Grace BROWN,AUS,Anna HENDERSON,GBR,Chloe DYGERT,USA,,
7/27/2024,Cycling Road,Men's Individual Time Trial,Remco EVENEPOEL,BEL,Filippo GANNA,ITA,Wout van AERT,BEL,,
7/27/2024,Judo,Women -48 kg Contest for Bronze Medal A,,,,,Shirine BOUKLI,FRA,,
7/27/2024,Judo,Women -48 kg Contest for Bronze Medal B,,,,,Tara BABULFATH,SWE,,
7/27/2024,Judo,Women -48 kg Final,TSUNODA Natsumi,JPN,Baasankhuu BAVUUDORJ,MGL,,,,
7/27/2024,Judo,Men -60 kg Contest for Bronze Medal A,,,,,NAGAYAMA Ryuju,JPN,,
7/27/2024,Judo,Men -60 kg Contest for Bronze Medal B,,,,,Francisco GARRIGOS,ESP,,
7/27/2024,Judo,Men -60 kg Final,Yeldos SMETOV,KAZ,Luka MKHEIDZE,FRA,,,,
7/27/2024,Rugby Sevens,Men's Bronze Medal Match,,,,,South Africa,RSA,,
7/27/2024,Rugby Sevens,Men's Gold Medal Match,France,FRA,Fiji,FIJ,,,,
7/27/2024,Fencing,Women's Épée Individual Bronze Medal Bout,,,,,Eszter MUHARI,HUN,,
7/27/2024,Swimming,Men's 400m Freestyle Final,Lukas MAERTENS,GER,Elijah WINNINGTON,AUS,KIM Woomin,KOR,,
7/27/2024,Swimming,Women's 400m Freestyle Final,Ariarne TITMUS,AUS,Summer McINTOSH,CAN,Katie LEDECKY,USA,,
7/27/2024,Fencing,Men's Sabre Individual Bronze Medal Bout,,,,,Luigi SAMELE,ITA,,
7/27/2024,Fencing,Women's Épée Individual Gold Medal Bout,KONG Man Wai Vivian,HKG,Auriane MALLO-BRETON,FRA,,,,
7/27/2024,Swimming,Women's 4 x 100m Freestyle Relay Final,Australia,AUS,United States,USA,China,CHN,,OR
7/27/2024,Swimming,Men's 4 x 100m Freestyle Relay Final,United States,USA,Australia,AUS,Italy,ITA,,
7/27/2024,Fencing,Men's Sabre Individual Gold Medal Bout,OH Sanguk,KOR,Fares FERJANI,TUN,,,,
7/28/2024,Shooting,10m Air Pistol Men's Final,XIE Yu,CHN,Federico Nilo MALDINI,ITA,Paolo MONNA,ITA,,
7/28/2024,Shooting,10m Air Pistol Women's Final,OH Ye Jin,KOR,KIM Yeji,KOR,Manu BHAKER,IND,,OR
7/28/2024,Cycling Mountain Bike,Women's Cross-country,Pauline FERRAND PREVOT,FRA,Haley BATTEN,USA,Jenny RISSVEDS,SWE,,
7/28/2024,Archery,Women's Team Bronze Medal Match,,,,,Mexico,MEX,,
7/28/2024,Judo,Men -66 kg Contest for Bronze Medal A,,,,,Gusman KYRGYZBAYEV,KAZ,,
7/28/2024,Judo,Men -66 kg Contest for Bronze Medal B,,,,,Denis VIERU,MDA,,
7/28/2024,Judo,Men -66 kg Final,ABE Hifumi,JPN,Willian LIMA,BRA,,,,
7/28/2024,Judo,Women -52 kg Contest for Bronze Medal A,,,,,Larissa PIMENTA,BRA,,
7/28/2024,Judo,Women -52 kg Contest for Bronze Medal B,,,,,Amandine BUCHARD,FRA,,
7/28/2024,Judo,Women -52 kg Final,Diyora KELDIYOROVA,UZB,Distria KRASNIQI,KOS,,,,
7/28/2024,Skateboarding,Women's Street Final,YOSHIZAWA Coco,JPN,AKAMA Liz,JPN,Rayssa LEAL,BRA,,
7/28/2024,Archery,Women's Team Gold Medal Match,Korea,KOR,China,CHN,,,,
7/28/2024,Canoe Slalom,Women's Kayak Single Final,Jessica FOX,AUS,Klaudia ZWOLINSKA,POL,Kimberley WOODS,GBR,,
7/28/2024,Swimming,Men's 400m Individual Medley Final,Leon MARCHAND,FRA,MATSUSHITA Tomoyuki,JPN,Carson FOSTER,USA,,OR
7/28/2024,Swimming,Women's 100m Butterfly Final,Torri HUSKE,USA,Gretchen WALSH,USA,ZHANG Yufei,CHN,,
7/28/2024,Fencing,Women's Foil Individual Bronze Medal Bout,,,,,Eleanor HARVEY,CAN,,
7/28/2024,Fencing,Men's Épée Individual Bronze Medal Bout,,,,,Mohamed ELSAYED,EGY,,
7/28/2024,Swimming,Men's 100m Breaststroke Final,Nicolo MARTINENGHI,ITA,Adam PEATY,GBR,,,,
7/28/2024,Swimming,Men's 100m Breaststroke Final,,,Nic FINK,USA,,,,
7/28/2024,Fencing,Women's Foil Individual Gold Medal Bout,Lee KIEFER,USA,Lauren SCRUGGS,USA,,,,
7/28/2024,Fencing,Men's Épée Individual Gold Medal Bout,KANO Koki,JPN,Yannick BOREL,FRA,,,,
7/29/2024,Shooting,10m Air Rifle Women's Final,BAN Hyojin,KOR,HUANG Yuting,CHN,Audrey GOGNIAT,SUI,,OR
7/29/2024,Diving,Men's Synchronised 10m Platform Final,China,CHN,Great Britain,GBR,Canada,CAN,,
7/29/2024,Equestrian,Eventing Team Jumping Final,Great Britain,GBR,France,FRA,Japan,JPN,,
7/29/2024,Shooting,10m Air Rifle Men's Final,SHENG Lihao,CHN,Victor LINDGREN,SWE,Miran MARICIC,CRO,,OR
7/29/2024,Cycling Mountain Bike,Men's Cross-country,Thomas PIDCOCK,GBR,Victor KORETZKY,FRA,Alan HATHERLY,RSA,,
7/29/2024,Equestrian,Eventing Individual Jumping Final,Michael JUNG,GER,Christopher BURTON,AUS,Laura COLLETT,GBR,,
7/29/2024,Archery,Men's Team Bronze Medal Match,,,,,Türkiye,TUR,,
7/29/2024,Judo,Women -57 kg Contest for Bronze Medal A,,,,,FUNAKUBO Haruka,JPN,,
7/29/2024,Judo,Women -57 kg Contest for Bronze Medal B,,,,,Sarah Leonie CYSIQUE,FRA,,
7/29/2024,Judo,Women -57 kg Final,Christa DEGUCHI,CAN,HUH Mimi,KOR,,,,
7/29/2024,Judo,Men -73 kg Contest for Bronze Medal A,,,,,Adil OSMANOV,MDA,,
7/29/2024,Judo,Men -73 kg Contest for Bronze Medal B,,,,,HASHIMOTO Soichi,JPN,,
7/29/2024,Judo,Men -73 kg Final,Hidayat HEYDAROV,AZE,Joan-Benjamin GABA,FRA,,,,
7/29/2024,Skateboarding,Men's Street Final,HORIGOME Yuto,JPN,Jagger EATON,USA,Nyjah HUSTON,USA,,
7/29/2024,Archery,Men's Team Gold Medal Match,Korea,KOR,France,FRA,,,,
7/29/2024,Canoe Slalom,Men's Canoe Single Final,Nicolas GESTIN,FRA,Adam BURGESS,GBR,Matej BENUS,SVK,,
7/29/2024,Artistic Gymnastics,Men's Team Final,Japan,JPN,China,CHN,United States,USA,,
7/29/2024,Swimming,Women's 400m Individual Medley Final,Summer McINTOSH,CAN,Katie GRIMES,USA,Emma WEYANT,USA,,
7/29/2024,Swimming,Men's 200m Freestyle Final,David POPOVICI,ROU,Matthew RICHARDS,GBR,Luke HOBSON,USA,,
7/29/2024,Fencing,Women's Sabre Individual Bronze Medal Bout,,,,,Olga KHARLAN,UKR,,
7/29/2024,Fencing,Men's Foil Individual Bronze Medal Bout,,,,,Nick ITKIN,USA,,
7/29/2024,Swimming,Men's 100m Backstroke Final,Thomas CECCON,ITA,XU Jiayu,CHN,Ryan MURPHY,USA,,
7/29/2024,Swimming,Women's 100m Breaststroke Final,Tatjana SMITH,RSA,TANG Qianting,CHN,Mona Mc SHARRY,IRL,,
7/29/2024,Fencing,Women's Sabre Individual Gold Medal Bout,Manon APITHY-BRUNET,FRA,Sara BALZER,FRA,,,,
7/29/2024,Swimming,Women's 200m Freestyle Final,Mollie O'CALLAGHAN,AUS,Ariarne TITMUS,AUS,HAUGHEY Siobhan Bernadette,HKG,,OR
7/29/2024,Fencing,Men's Foil Individual Gold Medal Bout,CHEUNG Ka Long,HKG,Filippo MACCHI,ITA,,,,
7/30/2024,Shooting,10m Air Pistol Mixed Team Bronze Medal Match,,,,,India 1,IND,,
7/30/2024,Shooting,10m Air Pistol Mixed Team Gold Medal Match,Serbia,SRB,Türkiye 2,TUR,,,,
7/30/2024,Table Tennis,Mixed Doubles Bronze Medal Match,,,,,LIM/SHIN,KOR,,
7/30/2024,Table Tennis,Mixed Doubles Gold Medal Match,WANG/SUN,CHN,RI/KIM,PRK,,,,
7/30/2024,Shooting,Trap Men's Final,Nathan HALES,GBR,QI Ying,CHN,Jean Pierre BROL CARDENAS,GUA,,
7/30/2024,Judo,Men -81 kg Contest for Bronze Medal A,,,,,LEE Joonhwan,KOR,,
7/30/2024,Judo,Men -81 kg Contest for Bronze Medal B,,,,,Somon MAKHMADBEKOV,TJK,,
7/30/2024,Judo,Men -81 kg Final,NAGASE Takanori,JPN,Tato GRIGALASHVILI,GEO,,,,
7/30/2024,Judo,Women -63 kg Contest for Bronze Medal A,,,,,Clarisse AGBEGNENOU,FRA,,
7/30/2024,Judo,Women -63 kg Contest for Bronze Medal B,,,,,Laura FAZLIU,KOS,,
7/30/2024,Judo,Women -63 kg Final,Andreja LESKI,SLO,Prisca AWITI ALCARAZ,MEX,,,,
7/30/2024,Artistic Gymnastics,Women's Team Final,United States,USA,Italy,ITA,Brazil,BRA,,
7/30/2024,Rugby Sevens,Women's Bronze Medal Match,,,,,United States,USA,,
7/30/2024,Fencing,Women's Épée Team Bronze Medal Match,,,,,Poland,POL,,
7/30/2024,Fencing,Women's Épée Team Gold Medal Match,Italy,ITA,France,FRA,,,,
7/30/2024,Rugby Sevens,Women's Gold Medal Match,New Zealand,NZL,Canada,CAN,,,,
7/30/2024,Swimming,Women's 100m Backstroke Final,Kaylee McKEOWN,AUS,Regan SMITH,USA,Katharine BERKOFF,USA,,
7/30/2024,Swimming,Men's 800m Freestyle Final,Daniel WIFFEN,IRL,Bobby FINKE,USA,Gregorio PALTRINIERI,ITA,,
7/30/2024,Swimming,Men's 4 x 200m Freestyle Relay Final,Great Britain,GBR,United States,USA,Australia,AUS,,
7/31/2024,Triathlon,Women's Individual,Cassandre BEAUGRAND,FRA,Julie DERRON,SUI,Beth POTTER,GBR,,
7/31/2024,Triathlon,Men's Individual,Alex YEE,GBR,Hayden WILDE,NZL,Leo BERGERE,FRA,,
7/31/2024,Diving,Women's Synchronised 10m Platform Final,China,CHN,DPR Korea,PRK,Great Britain,GBR,,
7/31/2024,Rowing,Men's Quadruple Sculls Final A,Netherlands,NED,Italy,ITA,Poland,POL,,
7/31/2024,Rowing,Women's Quadruple Sculls Final A,Great Britain,GBR,Netherlands,NED,Germany,GER,,
7/31/2024,Cycling BMX Freestyle,Women's Park Final,DENG Yawen,CHN,Perris BENEGAS,USA,Natalya DIEHM,AUS,,
7/31/2024,Cycling BMX Freestyle,Men's Park Final,Jose TORRES GIL,ARG,Kieran Darren David REILLY,GBR,Anthony JEANJEAN,FRA,,
7/31/2024,Shooting,Trap Women's Final,Adriana RUANO OLIVA,GUA,Silvana Maria STANCO,ITA,Penny SMITH,AUS,,
7/31/2024,Judo,Women -70 kg Contest for Bronze Medal A,,,,,Michaela POLLERES,AUT,,
7/31/2024,Judo,Women -70 kg Contest for Bronze Medal B,,,,,Gabriella WILLEMS,BEL,,
7/31/2024,Judo,Women -70 kg Final,Barbara MATIC,CRO,Miriam BUTKEREIT,GER,,,,
7/31/2024,Judo,Men -90 kg Contest for Bronze Medal A,,,,,Maxime-Gael NGAYAP HAMBOU,FRA,,
7/31/2024,Judo,Men -90 kg Contest for Bronze Medal B,,,,,Theodoros TSELIDIS,GRE,,
7/31/2024,Judo,Men -90 kg Final,Lasha BEKAURI,GEO,MURAO Sanshiro,JPN,,,,
7/31/2024,Canoe Slalom,Women's Canoe Single Final,Jessica FOX,AUS,Elena LILIK,GER,Evy LEIBFARTH,USA,,
7/31/2024,Artistic Gymnastics,Men's All-Around Final,OKA Shinnosuke,JPN,ZHANG Boheng,CHN,XIAO Ruoteng,CHN,,
7/31/2024,Fencing,Men's Sabre Team Bronze Medal Match,,,,,France,FRA,,
7/31/2024,Fencing,Men's Sabre Team Gold Medal Match,Korea,KOR,Hungary,HUN,,,,
7/31/2024,Swimming,Women's 100m Freestyle Final,Sarah SJOESTROEM,SWE,Torri HUSKE,USA,HAUGHEY Siobhan Bernadette,HKG,,
7/31/2024,Swimming,Men's 200m Butterfly Final,Leon MARCHAND,FRA,Kristof MILAK,HUN,Ilya KHARUN,CAN,,
7/31/2024,Swimming,Women's 1500m Freestyle Final,Katie LEDECKY,USA,Anastasiia KIRPICHNIKOVA,FRA,Isabel GOSE,GER,,OR
7/31/2024,Swimming,Men's 200m Breaststroke Final,Leon MARCHAND,FRA,Zac STUBBLETY-COOK,AUS,Caspar CORBEAU,NED,,
7/31/2024,Swimming,Men's 100m Freestyle Final,PAN Zhanle,CHN,Kyle CHALMERS,AUS,David POPOVICI,ROU,,WR
8/1/2024,Athletics,Men's 20km Race Walk,Brian Daniel PINTADO,ECU,Caio BONFIM,BRA,Alvaro MARTIN,ESP,,
8/1/2024,Shooting,50m Rifle 3 Positions Men's Final,LIU Yukun,CHN,Serhiy KULISH,UKR,Swapnil KUSALE,IND,,
8/1/2024,Athletics,Women's 20km Race Walk,YANG Jiayu,CHN,Maria PEREZ,ESP,Jemima MONTAG,AUS,,
8/1/2024,Rowing,Women's Double Sculls Final A,New Zealand,NZL,Romania,ROU,Great Britain,GBR,,
8/1/2024,Rowing,Men's Double Sculls Final A,Romania,ROU,Netherlands,NED,Ireland,IRL,,
8/1/2024,Rowing,Women's Four Final A,Netherlands,NED,Great Britain,GBR,New Zealand,NZL,,
8/1/2024,Rowing,Men's Four Final A,United States,USA,New Zealand,NZL,Great Britain,GBR,,
8/1/2024,Judo,Men -100 kg Contest for Bronze Medal A,,,,,Peter PALTCHIK,ISR,,
8/1/2024,Judo,Men -100 kg Contest for Bronze Medal B,,,,,Muzaffarbek TUROBOYEV,UZB,,
8/1/2024,Judo,Men -100 kg Final,Zelym KOTSOIEV,AZE,Ilia SULAMANIDZE,GEO,,,,
8/1/2024,Judo,Women -78 kg Contest for Bronze Medal A,,,,,MA Zhenzhao,CHN,,
8/1/2024,Judo,Women -78 kg Contest for Bronze Medal B,,,,,Patricia SAMPAIO,POR,,
8/1/2024,Judo,Women -78 kg Final,Alice BELLANDI,ITA,Inbar LANIR,ISR,,,,
8/1/2024,Canoe Slalom,Men's Kayak Single Final,Giovanni de GENNARO,ITA,Titouan CASTRYCK,FRA,Pau ECHANIZ,ESP,,
8/1/2024,Artistic Gymnastics,Women's All-Around Final,Simone BILES,USA,Rebeca ANDRADE,BRA,Sunisa LEE,USA,,
8/1/2024,Fencing,Women's Foil Team Bronze Medal Match,,,,,Japan,JPN,,
8/1/2024,Fencing,Women's Foil Team Gold Medal Match,United States,USA,Italy,ITA,,,,
8/1/2024,Swimming,Women's 200m Butterfly Final,Summer McINTOSH,CAN,Regan SMITH,USA,ZHANG Yufei,CHN,,
8/1/2024,Swimming,Men's 200m Backstroke Final,Hubert KOS,HUN,Apostolos CHRISTOU,GRE,Roman MITYUKOV,SUI,,
8/1/2024,Swimming,Women's 200m Breaststroke Final,Kate DOUGLASS,USA,Tatjana SMITH,RSA,Tes SCHOUTEN,NED,,
8/1/2024,Swimming,Women's 4 x 200m Freestyle Relay Final,Australia,AUS,United States,USA,China,CHN,,OR
8/2/2024,Shooting,50m Rifle 3 Positions Women's Final,Chiara LEONE,SUI,Sagen MADDALENA,USA,ZHANG Qiongyue,CHN,,
8/2/2024,Diving,Men's Synchronised 3m Springboard Final,China,CHN,Mexico,MEX,Great Britain,GBR,,
8/2/2024,Rowing,Men's Pair Final A,Croatia,CRO,Great Britain,GBR,Switzerland,SUI,,
8/2/2024,Rowing,Women's Pair Final A,Netherlands,NED,Romania,ROU,Australia,AUS,,
8/2/2024,Tennis,Mixed Doubles Bronze Medal Match,,,,,DABROWSKI/AUGER-ALIAS,CAN,,
8/2/2024,Rowing,Lightweight Men's Double Sculls Final A,Ireland,IRL,Italy,ITA,Greece,GRE,,
8/2/2024,Sailing,Women's Skiff Medal Race,AANHOLT/DUETZ,NED,BOBECK/NETZLER,SWE,STEYAERT/PICON,FRA,,
8/2/2024,Rowing,Lightweight Women's Double Sculls Final A,Great Britain,GBR,Romania,ROU,Greece,GRE,,
8/2/2024,Sailing,Men's Skiff Medal Race,BOTIN/TRITTEL,ESP,McHARDIE/McKENZIE,NZL,BARROWS/HENKEN,USA,,
8/2/2024,Tennis,Women's Singles Bronze Medal Match,,,,,Iga SWIATEK,POL,,
8/2/2024,Trampoline Gymnastics,Women's Final,Bryony PAGE,GBR,Viyaleta BARDZILOUSKAYA,AIN,Sophiane METHOT,CAN,,
8/2/2024,Equestrian,Jumping Team Final,Great Britain,GBR,United States,USA,France,FRA,,
8/2/2024,Badminton,Mixed Doubles Bronze Medal Match,,,,,WATANABE/HIGASHINO,JPN,,
8/2/2024,Badminton,Mixed Doubles Gold Medal Match,ZHENG/HUANG,CHN,KIM/JEONG,KOR,,,,
8/2/2024,Archery,Mixed Team Bronze Medal Match,,,,,United States,USA,,
8/2/2024,Archery,Mixed Team Gold Medal Match,Korea,KOR,Germany,GER,,,,
8/2/2024,Judo,Women +78 kg Contest for Bronze Medal A,,,,,KIM Hayun,KOR,,
8/2/2024,Judo,Women +78 kg Contest for Bronze Medal B,,,,,Romane DICKO,FRA,,
8/2/2024,Judo,Women +78 kg Final,Beatriz SOUZA,BRA,Raz HERSHKO,ISR,,,,
8/2/2024,Judo,Men +100 kg Contest for Bronze Medal A,,,,,Temur RAKHIMOV,TJK,,
8/2/2024,Judo,Men +100 kg Contest for Bronze Medal B,,,,,Alisher YUSUPOV,UZB,,
8/2/2024,Judo,Men +100 kg Final,Teddy RINER,FRA,KIM Minjong,KOR,,,,
8/2/2024,Tennis,Mixed Doubles Gold Medal Match,SINIAKOVA/MACHAC,CZE,WANG/ZHANG,CHN,,,,
8/2/2024,Fencing,Men's Épée Team Bronze Medal Match,,,,,Czechia,CZE,,
8/2/2024,Fencing,Men's Épée Team Gold Medal Match,Hungary,HUN,Japan,JPN,,,,
8/2/2024,Trampoline Gymnastics,Men's Final,Ivan LITVINOVICH,AIN,WANG Zisai,CHN,YAN Langyu,CHN,,
8/2/2024,Swimming,Men's 50m Freestyle Final,Cameron McEVOY,AUS,Benjamin PROUD,GBR,Florent MANAUDOU,FRA,,
8/2/2024,Swimming,Women's 200m Backstroke Final,Kaylee McKEOWN,AUS,Regan SMITH,USA,Kylie MASSE,CAN,,
8/2/2024,Swimming,Men's 200m Individual Medley Final,Leon MARCHAND,FRA,Duncan SCOTT,GBR,WANG Shun,CHN,,
8/2/2024,Athletics,"Men's 10,000m Final",Joshua CHEPTEGEI,UGA,Berihu AREGAWI,ETH,Grant FISHER,USA,,
8/2/2024,Cycling BMX Racing,"Men, Final",Joris DAUDET,FRA,Sylvain ANDRE,FRA,Romain MAHIEU,FRA,,
8/2/2024,Cycling BMX Racing,"Women, Final",Saya SAKAKIBARA,AUS,Manon VEENSTRA,NED,Zoe CLAESSENS,SUI,,
8/3/2024,Shooting,25m Pistol Women's Final,YANG Jiin,KOR,Camille JEDRZEJEWSKI,FRA,Veronika MAJOR,HUN,,
8/3/2024,Equestrian,Dressage Team Grand Prix Special,Germany,GER,Denmark,DEN,Great Britain,GBR,,
8/3/2024,Rowing,Women's Single Sculls Final A,Karolien FLORIJN,NED,Emma TWIGG,NZL,Viktorija SENKUTE,LTU,,
